pathID	gene
Apoptosis	H1-5
Apoptosis	HMGB1
Apoptosis	HMGB2
Apoptosis	KPNA1
Apoptosis	KPNB1
Apoptosis	LMNA
Apoptosis	LMNB1
Apoptosis	LY96
Apoptosis	MAGED1
Apoptosis	MAPK1
Apoptosis	MAPK3
Apoptosis	MAPK8
Apoptosis	MAPT
Apoptosis	NMT1
Apoptosis	OCLN
Apoptosis	OMA1
Apoptosis	OPA1
Apoptosis	PAK2
Apoptosis	PKP1
Apoptosis	PLEC
Apoptosis	PMAIP1
Apoptosis	PPP1R13B
Apoptosis	PPP3CC
Apoptosis	PPP3R1
Apoptosis	PRKCD
Apoptosis	PRKCQ
Apoptosis	PSMA1
Apoptosis	PSMA2
Apoptosis	PSMA3
Apoptosis	PSMA4
Apoptosis	PSMA5
Apoptosis	PSMA6
Apoptosis	PSMA7
Apoptosis	PSMA8
Apoptosis	PSMB1
Apoptosis	PSMB10
Apoptosis	PSMB11
Apoptosis	PSMB2
Apoptosis	PSMB3
Apoptosis	PSMB4
Apoptosis	PSMB5
Apoptosis	PSMB6
Apoptosis	PSMB7
Apoptosis	PSMB8
Apoptosis	PSMB9
Apoptosis	PSMC1
Apoptosis	PSMC2
Apoptosis	PSMC3
Apoptosis	PSMC4
Apoptosis	PSMC5
Apoptosis	PSMC6
Apoptosis	PSMD1
Apoptosis	PSMD10
Apoptosis	PSMD11
Apoptosis	PSMD12
Apoptosis	PSMD13
Apoptosis	PSMD14
Apoptosis	PSMD2
Apoptosis	PSMD3
Apoptosis	PSMD4
Apoptosis	PSMD5
Apoptosis	PSMD6
Apoptosis	PSMD7
Apoptosis	PSMD8
Apoptosis	PSMD9
Apoptosis	PSME1
Apoptosis	PSME2
Apoptosis	PSME3
Apoptosis	PSME4
Apoptosis	PSMF1
Apoptosis	PTK2
Apoptosis	RIPK1
Apoptosis	ROCK1
Apoptosis	RPS27A
Apoptosis	SATB1
Apoptosis	SEM1
Apoptosis	SEPTIN4
Apoptosis	SFN
Apoptosis	SPTAN1
Apoptosis	STAT3
Apoptosis	STK24
Apoptosis	STK26
Apoptosis	TFDP1
Apoptosis	TFDP2
Apoptosis	TICAM1
Apoptosis	TICAM2
Apoptosis	TJP1
Apoptosis	TJP2
Apoptosis	TLR4
Apoptosis	TNFRSF10A
Apoptosis	TNFRSF10B
Apoptosis	TNFSF10
Apoptosis	TP53
Apoptosis	TP53BP2
Apoptosis	TP63
Apoptosis	TP73
Apoptosis	TRADD
Apoptosis	TRAF2
Apoptosis	UACA
Apoptosis	UBA52
Apoptosis	UBB
Apoptosis	UBC
Apoptosis	UNC5A
Apoptosis	UNC5B
Apoptosis	VIM
Apoptosis	XIAP
Apoptosis	YWHAB
Apoptosis	YWHAE
Apoptosis	YWHAG
Apoptosis	YWHAH
Apoptosis	YWHAQ
Apoptosis	YWHAZ
Autophagy	AMBRA1
Autophagy	ARL13B
Autophagy	ATG10
Autophagy	ATG101
Autophagy	ATG12
Autophagy	ATG13
Autophagy	ATG14
Autophagy	ATG16L1
Autophagy	ATG3
Autophagy	ATG4A
Autophagy	ATG4B
Autophagy	ATG4C
Autophagy	ATG4D
Autophagy	ATG5
Autophagy	ATG7
Autophagy	ATG9A
Autophagy	ATG9B
Autophagy	ATM
Autophagy	BECN1
Autophagy	CETN1
Autophagy	CFTR
Autophagy	CHMP2A
Autophagy	CHMP2B
Autophagy	CHMP3
Autophagy	CHMP4A
Autophagy	CHMP4B
Autophagy	CHMP4C
Autophagy	CHMP6
Autophagy	CHMP7
Autophagy	CSNK2A1
Autophagy	CSNK2A2
Autophagy	CSNK2B
Autophagy	DYNC1H1
Autophagy	DYNC1I1
Autophagy	DYNC1I2
Autophagy	DYNC1LI1
Autophagy	DYNC1LI2
Autophagy	DYNLL1
Autophagy	DYNLL2
Autophagy	EEF1A1
Autophagy	EPAS1
Autophagy	FUNDC1
Autophagy	GABARAP
Autophagy	GABARAPL1
Autophagy	GABARAPL2
Autophagy	GFAP
Autophagy	HBB
Autophagy	HDAC6
Autophagy	HSF1
Autophagy	HSP90AA1
Autophagy	HSP90AB1
Autophagy	HSPA8
Autophagy	IFT88
Autophagy	LAMP2
Autophagy	LAMTOR1
Autophagy	LAMTOR2
Autophagy	LAMTOR3
Autophagy	LAMTOR4
Autophagy	LAMTOR5
Autophagy	MAP1LC3A
Autophagy	MAP1LC3B
Autophagy	MAP1LC3C
Autophagy	MFN1
Autophagy	MFN2
Autophagy	MLST8
Autophagy	MTERF3
Autophagy	MTMR14
Autophagy	MTMR3
Autophagy	MTOR
Autophagy	MVB12A
Autophagy	MVB12B
Autophagy	NBR1
Autophagy	PARK7
Autophagy	PCNT
Autophagy	PEX5
Autophagy	PGAM5
Autophagy	PIK3C3
Autophagy	PIK3R4
Autophagy	PINK1
Autophagy	PLIN2
Autophagy	PLIN3
Autophagy	PRKAA1
Autophagy	PRKAA2
Autophagy	PRKAB1
Autophagy	PRKAB2
Autophagy	PRKAG1
Autophagy	PRKAG2
Autophagy	PRKAG3
Autophagy	PRKN
Autophagy	RB1CC1
Autophagy	RHEB
Autophagy	RNASE1
Autophagy	RPS27A
Autophagy	RPTOR
Autophagy	RRAGA
Autophagy	RRAGB
Autophagy	RRAGC
Autophagy	RRAGD
Autophagy	SLC38A9
Autophagy	SQSTM1
Autophagy	SRC
Autophagy	TOMM20
Autophagy	TOMM22
Autophagy	TOMM40
Autophagy	TOMM5
Autophagy	TOMM6
Autophagy	TOMM7
Autophagy	TOMM70
Autophagy	TSC1
Autophagy	TSC2
Autophagy	TSG101
Autophagy	TUBA1A
Autophagy	TUBA1B
Autophagy	TUBA1C
Autophagy	TUBA3C
Autophagy	TUBA3D
Autophagy	TUBA3E
Autophagy	TUBA4A
Autophagy	TUBA4B
Autophagy	TUBA8
Autophagy	TUBAL3
Autophagy	TUBB1
Autophagy	TUBB2A
Autophagy	TUBB2B
Autophagy	TUBB3
Autophagy	TUBB4A
Autophagy	TUBB4B
Autophagy	TUBB6
Autophagy	TUBB8
Autophagy	TUBB8B
Autophagy	UBA52
Autophagy	UBAP1
Autophagy	UBB
Autophagy	UBC
Autophagy	UBE2N
Autophagy	UBE2V1
Autophagy	ULK1
Autophagy	USP30
Autophagy	UVRAG
Autophagy	VCP
Autophagy	VDAC1
Autophagy	VIM
Autophagy	VPS28
Autophagy	VPS37A
Autophagy	VPS37B
Autophagy	VPS37C
Autophagy	VPS37D
Autophagy	WDR45
Autophagy	WDR45B
Autophagy	WIPI1
Autophagy	WIPI2
